mode,avg_speedup,median_speedup,N_pairs,avg_success,N_rows,method_exactness,family,plot_family,pareto_front,full_success_boundary,family_best,acceptable_pareto_front,speedup_rank,numbered_highlight
WARM_LAZY_COMMIT_GNN_T060,7.482045398316693,3.518143621217286,34.0,0.8235294117647058,34,heuristic,GNN,Learning,False,False,False,False,34,True
WARM_LAZY_ML_STACK,7.369179659997881,3.481911309568125,34.0,0.8235294117647058,34,heuristic,WARM_LAZY,Lazy / hints,False,False,False,False,38,True
STREDUCE_CONSERVATIVE,1.6998317685476934,1.1413686722016112,34.0,0.8235294117647058,34,heuristic,STREDUCE,Reduction,False,False,False,False,56,True
WARM_LPSCREEN_T020,9.519174387494926,8.22580761408234,34.0,0.7941176470588235,34,heuristic,LPSCREEN,LP screen,False,False,False,False,13,True
WARM_PRUNE_LAZY_T020,7.6765946898349,4.793618772871433,34.0,0.7941176470588235,34,heuristic,PRUNE,Pruning,False,False,False,False,25,True
STREDUCE_GRU,2.533893880629693,1.1693362334621276,34.0,0.7941176470588235,34,heuristic,STREDUCE,Reduction,False,False,False,False,52,True
STREDUCE,2.4824461298366827,1.1543188542430656,34.0,0.7941176470588235,34,heuristic,STREDUCE,Reduction,False,False,False,False,53,True
WARM_PRUNE_LAZY_T010,7.586735887705494,3.713998463633514,34.0,0.7647058823529411,34,heuristic,PRUNE,Pruning,False,False,False,False,29,True
WARM_LPSCREEN_LAZY_T020,6.376745660302726,4.231904707636042,34.0,0.7647058823529411,34,heuristic,LPSCREEN,LP screen,False,False,False,False,42,True
WARM_LPSCREEN_LAZY_T010,6.134680198230636,3.135633236540696,34.0,0.7647058823529411,34,heuristic,LPSCREEN,LP screen,False,False,False,False,45,True
STREDUCE_AGGRESSIVE,4.064188020049976,1.2280970072542734,34.0,0.7647058823529411,34,heuristic,STREDUCE,Reduction,False,False,False,False,48,True
WARM_LPSCREEN_T010,9.717804370590498,7.663131896365077,34.0,0.6764705882352942,34,heuristic,LPSCREEN,LP screen,False,False,False,False,12,True
WARM_PRUNE_T010,12.504091713560163,8.976661702520211,34.0,0.6470588235294118,34,heuristic,PRUNE,Pruning,False,False,False,False,3,True
ACTIVESET_B500,11.278201271033419,8.022144141253715,34.0,0.6176470588235294,34,exact,ACTIVESET,Active set,False,False,False,False,6,True
ACTIVESET_B5000,11.254885614087717,7.983744273655974,34.0,0.6176470588235294,34,exact,ACTIVESET,Active set,False,False,False,False,7,True
ACTIVESET,11.163487374085664,8.0326973280909,34.0,0.6176470588235294,34,exact,ACTIVESET,Active set,False,False,False,False,8,True
ACTIVESET_NOCLEAN,11.079740162337092,8.000115095304519,34.0,0.6176470588235294,34,exact,ACTIVESET,Active set,False,False,False,False,9,True
WARM_ACTIVESET,10.261007630444006,7.74382818235458,34.0,0.6176470588235294,34,exact,ACTIVESET,Active set,False,False,False,False,11,True
RAW_GNN,14.147129692787997,9.020782908281426,34.0,0.5882352941176471,34,heuristic,GNN,Learning,False,False,False,False,2,True
