case_folder,mode,method_exactness,N,runtime_median,runtime_ex_norel_median,norel_heur_elapsed_median,runtime_IQR,runtime_CI95_lo,runtime_CI95_hi,nodes_median,nodes_IQR,nodes_CI95_lo,nodes_CI95_hi,mem_gb_median,mem_gb_IQR,mem_gb_CI95_lo,mem_gb_CI95_hi,obj_ppm_median,obj_ppm_IQR,obj_ppm_CI95_lo,obj_ppm_CI95_hi,root_constrs_median,final_constrs_median,final_to_root_constr_ratio_median,success_rate,feasible_rate,mip_gap_median,warm_applied_vars_median,branch_hints_median,speedup_vs_raw,speedup_vs_raw_ex_norel,reference_mode,speedup_vs_reference,wilcoxon_p_runtime,HL_delta_runtime,RBC_runtime,wilcoxon_p_nodes,HL_delta_nodes,RBC_nodes
matpower/case118,ACTIVESET,exact,6,30.232028999999997,9.665425999999998,21.0,2.713673,28.629203,36.771683499999995,0.0,0.75,0.0,1.0,,,,,49000.1903307116,5683.866499708791,37260.118503540056,50378.912082040464,45828.0,45828.0,1.0,0.8333333333333334,0.8333333333333334,0.047055219999999995,0.0,0.0,8.03263520619142,6.028308478074324,RAW,8.03263520619142,0.03125,-210.59335649999997,-1.0,0.125,-1.0,-1.0
matpower/case118,ACTIVESET_B500,exact,6,30.2701225,8.165206,21.0,3.195503500000001,28.341925,37.100752,0.0,0.75,0.0,1.0,,,,,49000.1903307116,5683.866499708791,37260.118503540056,50378.912082040464,45828.0,45828.0,1.0,0.8333333333333334,0.8333333333333334,0.047055219999999995,0.0,0.0,8.022526519342629,7.135909308350579,RAW,8.022526519342629,0.03125,-210.428385,-1.0,0.125,-1.0,-1.0
matpower/case118,ACTIVESET_B5000,exact,6,30.239103,9.069281499999999,21.0,2.96704025,28.3257285,36.7043615,0.0,0.75,0.0,1.0,,,,,49000.1903307116,5683.866499708791,37260.118503540056,50378.912082040464,45828.0,45828.0,1.0,0.8333333333333334,0.8333333333333334,0.047055219999999995,0.0,0.0,8.030756087573101,6.424562905010722,RAW,8.030756087573101,0.03125,-210.696888,-1.0,0.125,-1.0,-1.0
matpower/case118,ACTIVESET_LAZY,exact,6,93.5532865,5.050435499999999,87.5,9.205183250000005,76.959967,104.39256950000001,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.595770491718642,11.536860435105051,RAW,2.595770491718642,0.03125,-152.71288299999998,-1.0,0.03125,-1.0,-1.0
matpower/case118,ACTIVESET_LAZY_TOPK128,exact,6,93.23085549999999,8.201790499999994,89.5,26.590746750000008,67.246419,116.68013450000001,0.0,0.0,0.0,0.0,,,,,2.556023240213564,11.44660131798615,-0.3231682041081717,4215.668381592134,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.6047477436265725,7.104079225139929,RAW,2.6047477436265725,0.03125,-150.2744115,-1.0,0.03125,-1.0,-1.0
matpower/case118,ACTIVESET_NOCLEAN,exact,6,30.3549225,9.347848500000001,21.0,2.984289750000002,28.468343,37.047551,0.0,0.75,0.0,1.0,,,,,49000.1903307116,5683.866499708791,37260.118503540056,50378.912082040464,45828.0,45828.0,1.0,0.8333333333333334,0.8333333333333334,0.047055219999999995,0.0,0.0,8.000114660151084,6.233110164333534,RAW,8.000114660151084,0.03125,-210.418321,-1.0,0.125,-1.0,-1.0
matpower/case118,LAZY_ALL,exact,6,93.74367050000001,1.3430884999999932,90.0,10.232190500000002,75.311843,103.12173250000001,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.5904987419923993,43.3822264876814,RAW,2.5904987419923993,0.03125,-152.52249899999998,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_BANDIT,exact,6,91.387862,1.8878619999999984,88.5,34.03246924999999,58.9083335,103.4447055,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.6572769641990313,30.86357450915376,RAW,2.6572769641990313,0.03125,-153.6420515,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_COMMIT_GNN_T060,heuristic,6,91.2959835,1.0168,94.5,10.153712999999996,74.396846,101.4180745,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.6599511959910043,57.303471184106996,RAW,2.6599511959910043,0.03125,-155.2732375,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_COMMIT_HINTS,exact,6,91.2706135,2.829554999999999,87.5,8.84655724999999,74.19854,101.6501275,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.6606905682736537,20.59199043665877,RAW,2.6606905682736537,0.03125,-154.99555599999997,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_GNN_T060,heuristic,6,91.51613549999999,3.3176764999999975,87.0,9.458841500000005,73.5431595,103.110477,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.6535523945938477,17.56234204871995,RAW,2.6535523945938477,0.03125,-154.750034,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_GNN_T080,heuristic,6,91.791066,2.6213559999999987,88.0,8.277262249999993,75.589569,102.632766,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.645604535195179,22.227491992693864,RAW,2.645604535195179,0.03125,-154.4751035,-1.0,0.03125,-1.0,-1.0
matpower/case118,LAZY_TOPK128,exact,6,91.327821,4.597932499999999,86.5,28.44061450000001,64.335218,116.95968450000001,0.0,0.0,0.0,0.0,,,,,2.556023240213564,11.44660131798615,-0.3231682041081717,4215.668381592134,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,0.0,0.0,2.659023918899806,12.672254214258258,RAW,2.659023918899806,0.03125,-152.69007399999998,-1.0,0.03125,-1.0,-1.0
matpower/case118,RAW,exact,6,242.8428605,58.26616949999999,182.5,16.222227999999973,228.620069,259.21113249999996,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,1601820.0,1601820.0,1.0,1.0,1.0,3.1385e-05,0.0,0.0,1.0,1.0,RAW,1.0,,,,,,
matpower/case118,RAW_COMMIT_HINTS,exact,6,220.6610685,38.225181500000005,182.5,3.526464500000003,219.22518150000002,224.967232,1.0,0.0,1.0,1.0,,,,,553.7100153049746,2371.944919049878,62.470331868097446,12665.262109965774,1601820.0,1601820.0,1.0,1.0,1.0,0.000604245,0.0,0.0,1.1005242662459056,1.5242875825193918,RAW,1.1005242662459056,0.03125,-21.5202965,-1.0,1.0,0.0,0.0
matpower/case118,RAW_GNN,heuristic,6,26.2642385,3.4503000000000004,23.5,2.9104587499999965,24.4556505,34.2184975,0.0,0.0,0.0,0.0,,,,,48983.43434914605,5646.765629460126,37260.118503540056,50334.608298001156,45828.0,45828.0,1.0,0.6666666666666666,0.6666666666666666,0.047039975,0.0,0.0,9.246141307314126,16.887276323797927,RAW,9.246141307314126,0.03125,-213.81586949999996,-1.0,0.03125,-1.0,-1.0
matpower/case118,SHRINK_LAZY,heuristic,6,22.292503,,,4.714333249999999,16.4362725,24.6772085,0.0,0.0,0.0,0.0,,,,,6870.469379513115,7729.464838973763,2329.1861553682606,14149.92191655779,10191.5,10191.5,1.0,1.0,1.0,0.009311445,0.0,0.0,10.893476632031854,,RAW,10.893476632031854,0.03125,-220.7033285,-1.0,0.03125,-1.0,-1.0
matpower/case118,STREDUCE,heuristic,6,223.7296565,42.9236095,183.0,11.039184500000005,219.6562895,240.16711850000002,1.0,0.0,1.0,1.0,,,,,21834.87065852154,27996.31324488012,12.210599328021384,40104.14472005963,1602475.5,1602475.5,1.0,1.0,1.0,0.021921705,49068.0,0.0,1.0854299081266412,1.3574387191272903,RAW,1.0854299081266412,0.09375,-16.844031,-0.8095238095238095,1.0,0.0,0.0
matpower/case118,STREDUCE_AGGRESSIVE,heuristic,6,222.0425415,41.123143,184.5,13.51490800000002,217.42059799999998,254.0065965,1.0,0.0,1.0,1.0,,,,,16604.275834987693,17405.12478941545,108.65425394878449,23991.680362717205,1602700.5,1602700.5,1.0,1.0,1.0,0.016017835,49068.0,0.0,1.0936771794246465,1.4168705320018946,RAW,1.0936771794246465,0.4375,-21.265873500000012,-0.42857142857142855,1.0,0.0,0.0
matpower/case118,STREDUCE_CONSERVATIVE,heuristic,6,236.007476,47.47941850000001,187.0,13.667044249999975,225.536204,251.515601,1.0,0.0,1.0,1.0,,,,,10408.40688070095,22792.508882804785,0.0,37488.72819563425,1602088.0,1602088.0,1.0,1.0,1.0,0.010082269999999999,49068.0,0.0,1.0289625761685617,1.2271879340729495,RAW,1.0289625761685617,0.5625,-3.094268999999997,-0.3333333333333333,1.0,0.0,0.0
matpower/case118,STREDUCE_GRU,heuristic,6,222.97266000000002,42.730221,181.5,11.00174899999999,219.15844900000002,239.5407535,1.0,0.0,1.0,1.0,,,,,21834.87065852154,27996.31324488012,12.210599328021384,40104.14472005963,1602475.5,1602475.5,1.0,1.0,1.0,0.021921705,49068.0,0.0,1.0891149636910642,1.3635822173725707,RAW,1.0891149636910642,0.09375,-17.6010275,-0.8095238095238095,1.0,0.0,0.0
matpower/case118,STREDUCE_LAZY,heuristic,6,254.88736849999998,75.8873685,180.5,22.225461999999993,237.7995885,276.40203099999997,1.0,0.0,1.0,1.0,,,,,21834.87065852154,27998.969180653596,10.439975479036612,40104.14472005963,1602475.5,1602475.5,1.0,1.0,1.0,0.021921705,49068.0,0.0,0.9527457634684632,0.7677979965796283,RAW,0.9527457634684632,0.15625,11.145510999999985,0.7142857142857143,1.0,0.0,0.0
matpower/case118,STREDUCE_LAZY_AGGRESSIVE,heuristic,6,250.6052765,69.1052765,180.5,26.929888249999976,221.568426,266.900895,1.0,0.0,1.0,1.0,,,,,16604.275834987693,17405.12478941545,73.26205694424476,23991.680362717205,1602700.5,1602700.5,1.0,1.0,1.0,0.016017835,49068.0,0.0,0.9690253289618984,0.8431508048448368,RAW,0.9690253289618984,1.0,0.628586999999996,0.047619047619047616,1.0,0.0,0.0
matpower/case118,STREDUCE_LAZY_CONSERVATIVE,heuristic,6,267.1683785,89.66837849999999,178.5,45.763128249999966,236.593526,304.59468549999997,1.0,0.0,1.0,1.0,,,,,10416.332017079649,22727.833659273896,0.0,37448.253092073224,1602088.0,1602088.0,1.0,1.0,1.0,0.010091345,49068.0,0.0,0.9089506095872045,0.6497961764748539,RAW,0.9089506095872045,0.03125,15.292117499999975,1.0,1.0,0.0,0.0
matpower/case118,STREDUCE_LAZY_GRU,heuristic,6,255.0752485,78.5752485,178.5,27.47605274999998,233.249583,277.7139945,1.0,0.0,1.0,1.0,,,,,21834.87065852154,27998.969180653596,10.439975479036612,40104.14472005963,1602475.5,1602475.5,1.0,1.0,1.0,0.021921705,49068.0,0.0,0.9520440024191529,0.7415333786694928,RAW,0.9520440024191529,0.21875,9.634570499999995,0.6190476190476191,1.0,0.0,0.0
matpower/case118,WARM,exact,6,237.066362,54.0568045,180.5,11.521483750000016,221.77551449999999,239.890503,1.0,0.0,1.0,1.0,,,,,9.695760227683804,15617.458201165267,-1.6735702672902284,22133.943842337154,1601820.0,1601820.0,1.0,1.0,1.0,5.1445e-05,49068.0,0.0,1.0243665885419881,1.0778692902574363,RAW,1.0243665885419881,0.4375,-10.476507000000012,-0.42857142857142855,1.0,0.0,0.0
matpower/case118,WARM_ACTIVESET,exact,6,31.1240465,9.975549,21.0,2.8386700000000005,29.122127,37.4814565,0.0,0.75,0.0,1.0,,,,,49000.1903307116,5683.866499708791,37260.118503540056,50378.912082040464,45828.0,45828.0,1.0,0.8333333333333334,0.8333333333333334,0.047055219999999995,49068.0,1944.0,7.802419280539245,5.840898530998142,RAW,7.802419280539245,0.03125,-209.7906205,-1.0,0.125,-1.0,-1.0
matpower/case118,WARM_ACTIVESET_LAZY,exact,6,94.9387405,7.9387405000000015,87.0,9.107966750000003,77.6406985,105.1334115,0.0,0.0,0.0,0.0,,,,,9.33508303879981,189.45320364593437,-0.3231682041081717,4333.783778704714,45828.0,45828.0,1.0,1.0,1.0,6.701e-05,49068.0,1944.0,2.557890058589939,7.339472741299452,RAW,2.557890058589939,0.03125,-151.327429,-1.0,0.03125,-1.0,-1.0
