case_folder,mode,case_size,avg_runtime_sec,median_runtime_sec,runs,regime
matpower/case30,ACTIVESET_LAZY,30,0.7352611666666666,0.7266495,6,small
matpower/case30,ACTIVESET_LAZY_TOPK128,30,0.716033,0.721946,6,small
matpower/case30,ACTIVESET_NOCLEAN,30,0.5349245,0.541194,6,small
matpower/case30,LAZY_ALL,30,0.5339008333333334,0.524626,6,small
matpower/case30,LAZY_BANDIT,30,0.5289411666666667,0.525187,6,small
matpower/case30,LAZY_COMMIT_GNN_T060,30,0.5312168333333332,0.5358825,6,small
matpower/case30,LAZY_COMMIT_HINTS,30,0.5261568333333333,0.5188815,6,small
matpower/case30,LAZY_GNN_T060,30,0.534421,0.524868,6,small
matpower/case30,LAZY_GNN_T080,30,0.5354336666666667,0.5284709999999999,6,small
matpower/case30,LAZY_TOPK128,30,0.5291936666666667,0.5192835,6,small
matpower/case30,RAW,30,10.2580455,11.427605,6,small
matpower/case30,RAW_COMMIT_HINTS,30,10.882743166666666,12.035138,6,small
matpower/case30,RAW_GNN,30,0.36148816666666667,0.3647395,6,small
matpower/case30,SHRINK_LAZY,30,0.5511578333333333,0.6151625000000001,6,small
matpower/case30,STREDUCE,30,7.0549215,7.1508565,6,small
matpower/case30,STREDUCE_AGGRESSIVE,30,11.397063666666666,6.2193125,6,small
matpower/case30,STREDUCE_CONSERVATIVE,30,7.6707036666666655,7.8669525,6,small
matpower/case30,STREDUCE_GRU,30,6.9689835,6.958024999999999,6,small
matpower/case30,STREDUCE_LAZY,30,1.8368063333333335,1.225829,6,small
matpower/case30,STREDUCE_LAZY_AGGRESSIVE,30,7.237190166666667,1.228716,6,small
matpower/case30,STREDUCE_LAZY_CONSERVATIVE,30,2.859764333333333,2.6437805,6,small
matpower/case30,STREDUCE_LAZY_GRU,30,1.8195098333333333,1.1979514999999998,6,small
matpower/case30,WARM,30,10.347374166666667,11.486347,6,small
matpower/case30,WARM_ACTIVESET,30,0.6056201666666666,0.6042535,6,small
matpower/case30,WARM_ACTIVESET_LAZY,30,0.7788471666666666,0.790563,6,small
matpower/case30,WARM_BRANCH_HINTS,30,10.342881666666667,11.5677325,6,small
matpower/case30,WARM_COMMIT_HINTS,30,10.433368833333333,11.672469,6,small
matpower/case30,WARM_GRU,30,10.309631999999999,11.5158165,6,small
matpower/case30,WARM_LAZY,30,0.5969828333333334,0.600646,6,small
matpower/case30,WARM_LAZY_BANDIT,30,0.5999846666666667,0.5989985,6,small
matpower/case30,WARM_LAZY_BRANCH_HINTS,30,0.5985926666666667,0.598555,6,small
matpower/case30,WARM_LAZY_COMMIT_GNN_T060,30,0.6097391666666666,0.6163114999999999,6,small
matpower/case30,WARM_LAZY_COMMIT_GRU,30,0.6053745,0.6094930000000001,6,small
matpower/case30,WARM_LAZY_COMMIT_HINTS,30,0.5965331666666667,0.5991555,6,small
matpower/case30,WARM_LAZY_GNN_T060,30,0.6077586666666667,0.6118935,6,small
matpower/case30,WARM_LAZY_GRU,30,0.5961553333333334,0.601274,6,small
matpower/case30,WARM_LAZY_ML_STACK,30,0.638315,0.6356394999999999,6,small
matpower/case30,WARM_LAZY_TOPK128,30,0.5922413333333333,0.5847104999999999,6,small
matpower/case30,WARM_LPSCREEN_LAZY_T010,30,0.8302111666666666,0.816478,6,small
matpower/case30,WARM_LPSCREEN_LAZY_T020,30,0.821421,0.791891,6,small
matpower/case30,WARM_LPSCREEN_LAZY_T030,30,0.8218758333333334,0.7881125,6,small
matpower/case30,WARM_LPSCREEN_LAZY_T050,30,0.8215826666666666,0.8128249999999999,6,small
matpower/case30,WARM_LPSCREEN_LAZY_T080,30,0.8008753333333334,0.7918455,6,small
matpower/case30,WARM_LPSCREEN_T010,30,0.6656038333333333,0.6441075,6,small
matpower/case30,WARM_LPSCREEN_T020,30,0.6746458333333334,0.660614,6,small
matpower/case30,WARM_LPSCREEN_T030,30,0.6752226666666666,0.6881955,6,small
matpower/case30,WARM_LPSCREEN_T050,30,0.6624551666666666,0.663721,6,small
matpower/case30,WARM_LPSCREEN_T080,30,0.7034763333333333,0.6737805,6,small
matpower/case30,WARM_PRUNE_LAZY_T010,30,0.6095941666666667,0.6094225,6,small
matpower/case30,WARM_PRUNE_LAZY_T020,30,0.6168708333333334,0.6203829999999999,6,small
matpower/case30,WARM_PRUNE_LAZY_T030,30,0.6130776666666666,0.6045309999999999,6,small
matpower/case30,WARM_PRUNE_LAZY_T050,30,0.6039074999999999,0.6083069999999999,6,small
matpower/case30,WARM_PRUNE_LAZY_T080,30,0.5931131666666667,0.5893335,6,small
matpower/case30,WARM_PRUNE_T010,30,0.4525695,0.442155,6,small
matpower/case30,WARM_PRUNE_T020,30,0.4551826666666667,0.44896400000000003,6,small
matpower/case30,WARM_PRUNE_T030,30,0.4542796666666667,0.4517105,6,small
matpower/case30,WARM_PRUNE_T050,30,0.44843933333333336,0.44461300000000004,6,small
matpower/case30,WARM_PRUNE_T080,30,0.49400333333333335,0.45932150000000005,6,small
matpower/case30,WARM_SR_LAZY,30,3.1868175,3.1801690000000002,6,small
matpower/case57,ACTIVESET,57,1.8828215000000001,2.1560155,6,small
matpower/case57,ACTIVESET_B500,57,1.8787063333333334,2.1663445,6,small
matpower/case57,ACTIVESET_B5000,57,1.9013026666666668,2.184038,6,small
matpower/case57,ACTIVESET_LAZY,57,3.653363166666667,4.143264,6,small
matpower/case57,ACTIVESET_LAZY_TOPK128,57,3.629192833333333,4.1282915,6,small
matpower/case57,ACTIVESET_NOCLEAN,57,1.9009238333333334,2.194454,6,small
matpower/case57,LAZY_ALL,57,2.9658021666666667,3.3763025,6,small
matpower/case57,LAZY_BANDIT,57,2.990724333333333,3.445454,6,small
matpower/case57,LAZY_COMMIT_GNN_T060,57,2.1379975,2.9607935,6,small
matpower/case57,LAZY_COMMIT_HINTS,57,2.1015330000000003,2.8980550000000003,6,small
matpower/case57,LAZY_GNN_T060,57,2.9997328333333333,3.4493194999999996,6,small
matpower/case57,LAZY_GNN_T080,57,2.9905736666666662,3.431272,6,small
matpower/case57,LAZY_TOPK128,57,2.9752008333333335,3.4078014999999997,6,small
matpower/case57,RAW,57,45.695146666666666,62.380027999999996,6,small
matpower/case57,RAW_COMMIT_HINTS,57,45.00106216666668,62.6336135,6,small
matpower/case57,RAW_GNN,57,1.3103308333333332,1.5595534999999998,6,small
matpower/case57,SHRINK_LAZY,57,0.42709183333333334,0.508287,6,small
matpower/case57,STREDUCE,57,44.3765945,61.2555455,6,small
matpower/case57,STREDUCE_AGGRESSIVE,57,32.172679333333335,32.072221,6,small
