case_folder,case_label,case_size,mode,time_budget_pct,median_gap_pct,logs_with_incumbent,logs_total
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,10.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,15.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,20.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,25.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,30.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,35.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,40.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,45.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,50.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,55.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,60.0,100.0,1,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,65.0,100.0,1,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,70.0,75.65,4,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,75.0,74.65,5,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,80.0,73.75,6,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,85.0,73.45,6,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,90.0,73.1,6,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,95.0,73.1,6,6
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,100.0,21.6,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,0.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,5.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,10.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,15.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,20.0,94.44662760834524,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,25.0,94.23410313768508,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,30.0,94.12456226341787,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,35.0,93.55,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,40.0,15.950000000000001,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,45.0,5.720000000000001,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,50.0,4.85,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,55.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,60.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,65.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,70.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,75.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,80.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,85.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,90.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,95.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,100.0,4.341531,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,0.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,5.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,10.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,15.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,20.0,100.0,2,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,25.0,98.49986266411518,4,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,30.0,98.49003442177764,4,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,35.0,98.49003442177764,4,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,40.0,98.23719677808448,4,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,45.0,98.23719677808448,4,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,50.0,93.85952756535579,5,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,55.0,93.85952756535579,5,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,60.0,90.5,5,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,65.0,87.9,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,70.0,87.9,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,75.0,87.9,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,80.0,87.85,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,85.0,87.85,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,90.0,87.85,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,95.0,52.15,6,6
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,100.0,52.15,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,0.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,5.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,10.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,15.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,20.0,97.66998420232167,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,25.0,97.50357832331741,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,30.0,97.48964427234111,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,35.0,97.48964427234111,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,40.0,91.75,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,45.0,91.75,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,50.0,67.85,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,55.0,21.85,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,60.0,20.950000000000003,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,65.0,20.0,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,70.0,19.9,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,75.0,19.9,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,80.0,19.9,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,85.0,19.9,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,90.0,19.9,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,95.0,19.65,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,100.0,19.65,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,15.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,20.0,96.31012853626424,4,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,25.0,95.24597557628555,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,30.0,95.12908427122856,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,35.0,72.9,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,40.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,45.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,50.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,55.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,60.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,65.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,70.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,75.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,80.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,85.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,90.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,95.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_ALL,100.0,0.038225499999999996,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,15.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,20.0,96.31012853626424,4,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,25.0,95.30860480089015,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,30.0,95.12908427122856,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,35.0,85.55,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,40.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,45.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,50.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,55.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,60.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,65.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,70.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,75.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,80.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,85.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,90.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,95.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,100.0,2.7829325,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,15.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,20.0,96.31012853626424,4,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,25.0,95.24597557628555,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,30.0,95.12908427122856,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,35.0,8.34,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,40.0,1.77783,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,45.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,50.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,55.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,60.0,1.7757165,6,6
