case,instance,default_runtime_s,default_mip_gap,tuned_runtime_s,tuned_mip_gap,tune_wall_sec
matpower/case14,matpower/case14/2017-01-05,0.0489461421966552,9.561263442753452e-05,0.0466868877410888,9.561263442753452e-05,4.9091439999999995
matpower/case118,matpower/case118/2017-01-10,16.078065156936646,9.282434141737489e-05,17.324124097824097,9.282434141737489e-05,1769.617298834
matpower/case300,matpower/case300/2017-01-05,278.6269087791443,7.261353006114316e-05,272.58358001708984,7.261353006114316e-05,3609.398444041
