check,evidence,conclusion
GNN vs 1-NN,mean speedup ratios 0.987--1.035,no consistent downstream gain
Fixed-$K$ lazy cuts,case118 best feasible K256 (18.7x); case300 fixed-$K$ feasibility 66%,aggressive cut budgets are not robust
\texttt{grbtune},case14 1.05x; case118 0.93x; case300 1.02x,does not explain order-of-magnitude gains
