case_folder,mode,n,initial_constraints_mean,kept_constraints_mean,kept_ratio_mean,reduction_ratio_mean
matpower/case57,WARM+PRUNE-0.80,60,441936.0,15471.6,0.035005,0.964995
matpower/case57,WARM+PRUNE-0.80+GNN,60,441936.0,15471.6,0.035005,0.964995
matpower/case89pegase,WARM+PRUNE-0.10,54,2459952.0,504.0,0.00020740740740740735,0.9997925925925922
matpower/case89pegase,WARM+PRUNE-0.10+GNN,54,2459952.0,504.0,0.00020740740740740735,0.9997925925925922
matpower/case89pegase,WARM+PRUNE-0.20,54,2459952.0,3901.3333333333335,0.0015833333333333333,0.9984166666666667
matpower/case89pegase,WARM+PRUNE-0.20+GNN,54,2459952.0,3901.3333333333335,0.0015833333333333333,0.9984166666666667
matpower/case89pegase,WARM+PRUNE-0.30,54,2459952.0,9810.666666666666,0.003990740740740741,0.9960092592592593
matpower/case89pegase,WARM+PRUNE-0.30+GNN,54,2459952.0,9810.666666666666,0.003990740740740741,0.9960092592592593
matpower/case89pegase,WARM+PRUNE-0.50,54,2459952.0,99740.0,0.040549999999999996,0.9594499999999999
matpower/case89pegase,WARM+PRUNE-0.50+GNN,54,2459952.0,99740.0,0.040549999999999996,0.9594499999999999
matpower/case89pegase,WARM+PRUNE-0.80,54,2459952.0,701873.3333333334,0.28532037037037034,0.7146796296296295
matpower/case89pegase,WARM+PRUNE-0.80+GNN,54,2459952.0,701873.3333333334,0.28532037037037034,0.7146796296296295
